Kinto Wallet,reward %,Time Factor %,Deposit Factor,July 18th,July 18th,July 24,August 17,Total
0x24eC8285Ed0B8373B2eC753CbB668bCbB773d8Ab,0.089,67.51,0.00064875,8.86,8.811089,17.90,12.77,48.34
0xe63a73043690E65B55afD630A47aBab0E800bb47,0.088,86.59,0.00046338,8.72,8.712088,17.62,12.57,47.63
0xAcd1845948a03Daf4592323A2C14fFa935a94Fb9,0.088,62.08,0.00100389,8.68,8.712088,17.54,12.51,47.45
0xeB326Cc0188A6375Cf1D5c1aE93A1D1B35124f76,0.087,79.03,0.00051410,8.66,8.613087,17.49,12.48,47.23
0x79c9Af53C329889fb6560244caB73212984461d1,0.086,78.31,0.00053641,8.54,8.514086,17.25,12.30,46.60
0xB609316dec60d2bB1B8f50DDc54a7D169F442158,0.086,74.25,0.00055463,8.51,8.514086,17.19,12.27,46.49
0x496284486BF123e0aF0DE7714086874fFC8b8DA8,0.085,82.78,0.00045044,8.46,8.415085,17.08,12.19,46.14
0xCeC1c28aebe1311EB40339b5e483c2FF8B627a5b,0.082,81.99,0.00045009,8.12,8.118082,16.41,11.71,44.36
0x7f26E00D5E13d016E1BCfBc680CFaCF7A6744e14,0.079,73.95,0.00046078,7.81,7.821079,15.78,11.26,42.66
0x8379748e7079e8309b955726a7D146d4239ddB28,0.077,81.90,0.00045022,7.65,7.623077,15.45,11.02,41.74
0x9c55b1a2FAbF6561eE4B9b0eaCd801C5dff1f66E,0.077,79.05,0.00046045,7.61,7.623077,15.37,10.97,41.57
0x6873a98Cc6C4B1ce6E73E5f025E82931f587be33,0.077,63.64,0.00051803,7.60,7.623077,15.36,10.96,41.55
0x033A6DF807c204697daE4EAa9CDC0880Fc4dDF02,0.077,84.75,0.00043093,7.59,7.623077,15.34,10.94,41.49
0x56f809D1DbE35f2065b30D9d6175a916F6Ee8fe5,0.076,79.23,0.00044919,7.50,7.524076,15.14,10.80,40.97
0x8D2a1f491fe806C89e17A237D9F7A68e6b4E6Be4,0.076,79.61,0.00044716,7.48,7.524076,15.12,10.79,40.91
0xb4d907E9039adEd6247a622Efb58378bd4eab307,0.075,79.59,0.00044656,7.42,7.425075,14.99,10.70,40.54
0xacFEA26c90C4Ec7291Bde8BFDC03386e39326cF3,0.075,85.21,0.00040561,7.39,7.425075,14.93,10.65,40.40
0xD2cA32044808C50Bb32BE43786fe7F7fecD7F874,0.074,78.75,0.00044716,7.36,7.326074,14.87,10.61,40.17
0x8c4B3023d414BaF377e132069a75fef7E14bAdF2,0.072,78.51,0.00044715,7.16,7.128072,14.47,10.32,39.09
0xCd6F8084e2838f7cC02a2405F7641B69584D50D1,0.072,78.23,0.00043363,7.13,7.128072,14.41,10.28,38.95
0x5Fd84b78D2393F222befb9b9FBCa2B8B62a76451,0.070,71.20,0.00045162,6.90,6.93007,13.94,9.94,37.71
0x4Ea4b4f7717C42F828603947502cB8cf73a1c119,0.067,78.65,0.00040503,6.60,6.633067,13.34,9.52,36.09
0x566117239C23180016e1C3B9Ab59Dd13A5f330Db,0.066,86.65,0.00036032,6.58,6.534066,13.29,9.48,35.89
0x0AafBD122bA5b28928fed50aB40EfEb0de51D350,0.064,53.48,0.00044990,6.38,6.336064,12.89,9.20,34.80
0x49C290e22A9d3F9A33457966098790f04BA57Bc2,0.064,56.87,0.00044726,6.35,6.336064,12.83,9.15,34.67
0xd3Ce7c59d49319bEfd4E9731421025D6cFBcB2d8,0.063,43.53,0.00091432,6.28,6.237063,12.68,9.05,34.25
0x4a0635cbaa595a6A3b1b69D96698a831FD2AB6dD,0.063,67.88,0.00044709,6.27,6.237063,12.67,9.04,34.22
0x8B04410adC77a3035DabeE06370F939Ec3AcEAEB,0.059,65.35,0.00044736,5.81,5.841059,11.73,8.37,31.76
0x24C99170FedA5DeAadC5f7D7bCB94564a35d3711,0.057,45.74,0.00044749,5.62,5.643057,11.35,8.09,30.70
0x6fa4DA5da5425C1dc13bAFb168EC4F26DC4Cd9dc,0.055,65.32,0.00042956,5.49,5.445055,11.10,7.92,29.95
0x342cB256218EFf45705F023352b433659c566185,0.053,60.18,0.00046405,5.23,5.247053,10.56,7.54,28.58
0x5c0968CE0A703B396cA4eEbf20D61A03FA5C4ba6,0.052,54.67,0.00066932,5.12,5.148052,10.33,7.37,27.97
0x49674cf87fbeF1a67eAb95ED114C199Ea3BCf996,0.051,82.97,0.00028494,5.05,5.049051,10.20,7.28,27.57
0x557f438905a8523A2D1AB99E5cc4197B7f82275D,0.051,58.99,0.00044667,5.02,5.049051,10.14,7.24,27.45
0x1D05C788C6f968875C59C5AeF04Ca3E6966D4cFC,0.050,38.86,0.00088294,4.92,4.95005,9.94,7.09,26.90
0x4195F2Bd53CE27cE35D44A4aE72Dd6b2Cc5e9671,0.048,66.65,0.00037581,4.77,4.752048,9.63,6.87,26.03
0x2387404e7B798F090442844D87Fe31F7BEd4E13d,0.048,71.86,0.00031382,4.75,4.752048,9.60,6.85,25.95
0xa3574638CB12f95dd97E5D9A6852D04770C7D061,0.047,71.55,0.00030421,4.69,4.653047,9.48,6.76,25.59
0x1Ed394A0270775c256E0B00F9aC9586ffFDDC712,0.047,82.13,0.00027004,4.64,4.653047,9.37,6.69,25.35
0x21Aac33CBc56D66d7CB66c92c9B33668971D5660,0.046,39.24,0.00083838,4.60,4.554046,9.29,6.63,25.07
0xF5D28f12c1C16036035bc8B0997Be03f97Deaa47,0.046,78.71,0.00027417,4.59,4.554046,9.26,6.61,25.02
0xa5D71B292e10DA8Adff6215ECcb0E64562012b7c,0.046,64.83,0.00035801,4.53,4.554046,9.14,6.52,24.75
0xFb238b1e239741f53a76Fa619D1bCc44Bd62C0c7,0.046,81.99,0.00025595,4.51,4.554046,9.12,6.51,24.70
0x42468900f72BF7d3AEE1eAB833c21bf39f58a023,0.045,47.73,0.00055355,4.44,4.455045,8.97,6.40,24.25
0xFAd16197C2179bFeE0d96F3FE685C642962b6520,0.044,54.50,0.00042410,4.36,4.356044,8.80,6.28,23.80
0x7Ca845d18d24a78B4521E53973f4f3E95B2336Ab,0.043,87.13,0.00022530,4.30,4.257043,8.68,6.19,23.43
0xa3B1F5f8BD3150Da92B32e853F474067F1E9Fe02,0.043,76.02,0.00028204,4.24,4.257043,8.57,6.11,23.18
0x6c50f1B31db769F8095B046bF93124a3fDdeb75b,0.043,80.48,0.00024658,4.24,4.257043,8.56,6.11,23.17
0xb4fca570D7043D9F987fC2A20BFbb993F8dc2b0d,0.042,79.53,0.00025041,4.19,4.158042,8.47,6.04,22.86
0x7a715788F743fa54ed8ea9224cebef922379D459,0.042,79.58,0.00024817,4.19,4.158042,8.47,6.04,22.86
0x1e7619Dcfc533E995Cc51410B592085f1C0E0E76,0.042,85.37,0.00022474,4.16,4.158042,8.40,5.99,22.71
0x6814a45f7E0ce35AB112b82C7Bc10568050B5298,0.042,52.82,0.00044147,4.16,4.158042,8.39,5.99,22.70
0x447C343B0Aa8406505797Cd6c8AD001E6A56F1E9,0.042,77.62,0.00026459,4.12,4.158042,8.33,5.94,22.55
0x3F30bAc21E74834Ba19A14ba1Bd438193a353bfb,0.042,83.53,0.00022458,4.12,4.158042,8.31,5.93,22.52
0xD92171e42748CEdCb1dA226e70a9fFF3043D57C7,0.041,83.95,0.00022481,4.10,4.059041,8.29,5.91,22.37
0x460456CcCc41c20951b0558a6B995Bc6423DF949,0.041,80.14,0.00024198,4.10,4.059041,8.28,5.90,22.34
0xA7857A829b2825953f3797f1C6dCA6465Cb9ac14,0.041,70.99,0.00028622,4.09,4.059041,8.27,5.90,22.31
0xCD280b0F5BDA024444D61dBAA498364436Ea0442,0.041,76.47,0.00025460,4.09,4.059041,8.25,5.89,22.29
0x44446983Fe7EC9F62C816F0a81274f5bF754850E,0.041,80.77,0.00022488,4.07,4.059041,8.23,5.87,22.24
0x723E74f80330DaEcb8EEBCCa483a2483577bb595,0.041,80.14,0.00022557,4.05,4.059041,8.18,5.84,22.12
0xaECAA88a1296e69075b183eC52738579c29Fe58b,0.040,82.37,0.00022487,3.99,3.96004,8.06,5.75,21.77
0xb4e8Ba45F12d6b0e952Dee1Af6ede35d47D1952E,0.040,72.01,0.00026852,3.96,3.96004,8.01,5.71,21.65
0xCEa57249afb32b251CA4EbFd047b9988980Bc89A,0.040,66.77,0.00031630,3.94,3.96004,7.96,5.68,21.55
0xa05Ef78331a737D9Ca4bbA5a57EE6aB8f88b50AE,0.039,64.26,0.00031121,3.90,3.861039,7.88,5.62,21.26
0xBeb966D05189220DBF3592F5ff1bF284FE1629f1,0.039,56.73,0.00035703,3.89,3.861039,7.85,5.60,21.20
0x05B1d15aA2AC1d392480775d2da02b16a5663778,0.039,79.08,0.00022486,3.86,3.861039,7.79,5.56,21.07
0xd47fccaF6A154424F78c748416b1cdb15A3e2A05,0.038,50.31,0.00026975,3.81,3.762038,7.69,5.49,20.74
0x8dd82DDaF7b859eCd9E6fbe6606e2727e3F7D7B3,0.038,79.66,0.00022354,3.75,3.762038,7.58,5.41,20.50
0x87a9a4DcBf29e782f102Ba04E2252D09DC9b4290,0.038,79.48,0.00022358,3.74,3.762038,7.56,5.39,20.45
0x98deC7CA9a2C6b978371D4D9FEd6fa0E4Cf8fE4B,0.038,66.16,0.00025058,3.72,3.762038,7.52,5.37,20.37
0x418d2A7bb7039291Bb515bA947349288CDA728B5,0.037,84.88,0.00020237,3.71,3.663037,7.50,5.35,20.22
0xBBd72E085d0E6CD0d8f37dC30A9C1D638b27605E,0.037,74.71,0.00021081,3.64,3.663037,7.36,5.25,19.92
0x22DCD25f270915a236e531E29F0f6b8F7a63dD78,0.035,47.27,0.00044656,3.51,3.465035,7.10,5.07,19.15
0x9368f9203B82934763F0A2d5bb2B38CD754EeF46,0.035,79.20,0.00021460,3.48,3.465035,7.03,5.02,18.99
0x9001Ade7A43A3bBE711bf9133d67d3f2bCb51A23,0.035,74.22,0.00022130,3.46,3.465035,6.99,4.99,18.91
0x63b4a008Ba3eaA316FeC382355F92564f05E83d6,0.035,71.76,0.00023703,3.44,3.465035,6.94,4.95,18.80
0xFA1C8D1F86744381ad20e6624EeEC2572671296D,0.035,80.21,0.00020836,3.43,3.465035,6.94,4.95,18.79
0x3D6A78fD10129757142C8e49A6EC822C8e6e3e03,0.034,80.88,0.00023778,3.33,3.366034,6.73,4.80,18.23
0xD838e70eeae940b1E520759BF84c8833F6FbCbE2,0.033,79.15,0.00021012,3.30,3.267033,6.67,4.76,18.00
0x57457266F531783c5D13446afAEcfd5245EFaD11,0.033,86.78,0.00018449,3.29,3.267033,6.65,4.74,17.95
0x943fe5e7b0cC5c25422F6f4fC97c5a840C65EC8F,0.033,65.24,0.00026445,3.29,3.267033,6.64,4.74,17.93
0x89c2b081eA3F58D8bedF66d8BC373cE93A22Fd36,0.033,72.35,0.00023268,3.29,3.267033,6.64,4.74,17.92
0x4ba3693E0f6b03B3B1FaF7e2FF1ae280f826a360,0.033,65.77,0.00025950,3.28,3.267033,6.62,4.72,17.89
0xC9D487bDdc4De6b27f27AebB1bab0C0a58611368,0.033,53.20,0.00022556,3.25,3.267033,6.56,4.68,17.77
0x15bE69623d4B3C383116736a4a2A71d513022129,0.033,44.64,0.00037065,3.24,3.267033,6.55,4.67,17.72
0x255fDc7FA443A61cF9Bc9902fC5b995D3D6bD386,0.032,84.57,0.00017993,3.12,3.168032,6.30,4.50,17.08
0x342274Ac997afa78B5b33114E797EE53f62a82ff,0.031,69.99,0.00021010,3.11,3.069031,6.28,4.48,16.94
0x4d7B1DE40fbBD7DE8A66E8BDDc3A043268E2F872,0.031,60.18,0.00026857,3.08,3.069031,6.22,4.44,16.80
0xF4E018F53fe0DF2958688dC808c50dF5aA29Ce57,0.031,84.56,0.00017932,3.06,3.069031,6.18,4.41,16.73
0xd778dCC8CCd692e5ce461b096044f4B14C8299af,0.031,86.07,0.00017516,3.04,3.069031,6.14,4.38,16.63
0x72EED59820f3bc0eaE199E9F766a0aD7f4Ae5BB8,0.031,43.36,0.00047279,3.03,3.069031,6.13,4.37,16.60
0x0c41FCB7307B2Ef3b0F9D737457158144086b9e9,0.031,37.43,0.00062417,3.03,3.069031,6.11,4.36,16.57
0xBD4f9f03E927E012Bac212E6AC1755D1F1846257,0.031,43.64,0.00046340,3.02,3.069031,6.10,4.35,16.54
0x1b641Dc6Ff5EE1B2111674d4F3661728701b9048,0.030,43.37,0.00046832,3.00,2.97003,6.05,4.32,16.34
0xFa93a6A4F0F89A0bdbf401F0F055978Ae162a82c,0.030,78.07,0.00018778,2.97,2.97003,5.99,4.28,16.20
0xC4427A885a8d992CB507a81c3B694744262De62A,0.030,43.36,0.00046386,2.97,2.97003,5.99,4.27,16.20
0x364482A404171B8135DF6E3FA6AfDcAd973E9661,0.030,42.65,0.00047709,2.97,2.97003,5.99,4.27,16.20
0xb264BfF6385d26c11b1b184788BbAE3b25eb0Bb1,0.030,67.27,0.00022354,2.95,2.97003,5.96,4.26,16.14
0x84b1E4842C12DA8993Fc865ff0507Ac639b9b20d,0.030,42.64,0.00047709,2.94,2.97003,5.94,4.24,16.10
0xeCBC0956040183e0dA140FBee6ba300B8914989C,0.030,42.58,0.00047710,2.94,2.97003,5.93,4.23,16.08
0xeabC3963B0bF8574032F157e1562b66a84414760,0.030,42.55,0.00047710,2.92,2.97003,5.91,4.22,16.02
0xD046900e530a90319Fb438253A8e09c45484f2D2,0.029,44.15,0.00044605,2.91,2.871029,5.89,4.20,15.87
0x2D1d6CC7b1F658a2457c3d36604aAbA60DB2b190,0.029,81.01,0.00017977,2.91,2.871029,5.88,4.20,15.86
0xCBB59764D2c3D6752e66C22308dFD4a3CA16D452,0.029,43.36,0.00045940,2.91,2.871029,5.88,4.20,15.86
0xf0BE563E3a0F5f152be82724a3a439C84a00bbdb,0.029,78.38,0.00018006,2.90,2.871029,5.86,4.18,15.80
0x0fE9DBC8000407E1de97E539c278974371E52232,0.029,42.58,0.00047309,2.90,2.871029,5.86,4.18,15.80
0xEE69879105F5EcA104d5aAf94a032b3D4aFE2141,0.029,42.55,0.00047308,2.89,2.871029,5.84,4.17,15.77
0x43Def40c4AF010961FE9B4a5eA233C7D8b6aa1FD,0.029,42.55,0.00047264,2.88,2.871029,5.82,4.15,15.73
0x3a18763766881ce65AB5804f9Ef7639f3372C83c,0.029,80.65,0.00017953,2.88,2.871029,5.82,4.15,15.73
0xc3d100A184dA2FF87A4Aa834AbEb40433DF47eFa,0.029,42.64,0.00046956,2.87,2.871029,5.79,4.13,15.66
0x010d33778E2E0827192a95b4565193CbBEFc1a15,0.029,42.58,0.00047054,2.85,2.871029,5.76,4.11,15.58
0x65D71fF160aa78efd391214387F03029eFF9F5A2,0.029,43.36,0.00045494,2.84,2.871029,5.74,4.10,15.56
0xABA11110f2795F6Ce1859cE8a2d4029508B0dca5,0.028,43.37,0.00045468,2.82,2.772028,5.70,4.06,15.35
0x35Ffde65E8948d64B3DBf577e736772e0d00053f,0.028,42.65,0.00046818,2.81,2.772028,5.68,4.06,15.32
0xf82d28a961DE778D84b6Ed5E5A6a4C6f3eB164e9,0.028,42.55,0.00046956,2.81,2.772028,5.67,4.05,15.30
0x20E2b397812DD73eF111F52bBE45925C6Da1E972,0.028,42.58,0.00046818,2.78,2.772028,5.63,4.01,15.20
0xB4C0DAc39BcC664db68EBB70dfb2c3979669a28f,0.028,42.72,0.00046523,2.78,2.772028,5.61,4.01,15.17
0x14AA43b07E53A21AeDFd08cCae0d83296E6f7a3c,0.028,42.55,0.00046862,2.77,2.772028,5.60,4.00,15.15
0x775a48FC92163e9484f66bb5C4484a5929b54853,0.028,42.57,0.00046818,2.75,2.772028,5.56,3.97,15.06
0x8db5bc8A09007214E9e41A00BF6fAaEa367d05D4,0.028,42.73,0.00046479,2.74,2.772028,5.54,3.95,15.01
0xC7da69e0e5BF44f860D29F02288a10C200624B14,0.028,42.75,0.00046424,2.72,2.772028,5.50,3.93,14.92
0x806995a3bbE051e20612F736F1d69Eca46AD4B85,0.027,42.55,0.00046818,2.70,2.673027,5.46,3.90,14.74
0x96B5Dc301EDC010b7254c7317B83eA17Adb1d0bD,0.027,80.29,0.00017754,2.70,2.673027,5.46,3.90,14.74
0x3f53B93CDc442028058D109C37C48B3ed3646F2f,0.027,42.73,0.00046421,2.70,2.673027,5.46,3.90,14.73
0x6c6C285f3f01580420992eB197EF47c96D606fe1,0.027,42.73,0.00046425,2.68,2.673027,5.41,3.86,14.63
0xd823e1b4C475a4e0101aA3EB9719F05Af05a316d,0.027,42.72,0.00046430,2.68,2.673027,5.40,3.86,14.61
0xFFe0e05CA7A3279E85A2D5246A5db2C7A020732B,0.027,42.75,0.00046375,2.67,2.673027,5.40,3.85,14.59
0x9cDF98ED7a38BA8Fc423Fbfa9db7582CBc615248,0.027,42.75,0.00046366,2.66,2.673027,5.37,3.83,14.53
0xBE21Bb383F7FFF1bcE643AC9293f34e2E81EAf85,0.027,68.07,0.00022358,2.65,2.673027,5.36,3.82,14.51
0x0Be43b60D1eB45586223cc3CF0F01A958Ed567D4,0.027,42.72,0.00046416,2.65,2.673027,5.36,3.82,14.50
0xB1066677E3C05215DdC79178A073793c6E61B477,0.027,42.75,0.00046362,2.63,2.673027,5.30,3.78,14.39
0xB1b8071808d876dDdCb859b4F65358c4E1edd9Ef,0.026,42.73,0.00046381,2.62,2.574026,5.29,3.77,14.25
0xb21539b5435FAab1B669cb1475BB832E3d3E8aD1,0.026,42.76,0.00046331,2.60,2.574026,5.26,3.75,14.19
0x0dE17de8978cF0DDf800f453c75b45871b3e73a5,0.026,42.73,0.00046372,2.59,2.574026,5.24,3.74,14.15
0xd99Fb6981dE228f7BcF794f8c4D064c41caf4D76,0.026,42.67,0.00046497,2.59,2.574026,5.23,3.73,14.13
0x5AE242a1F1c8F04598fCd12B11Ad7Af50F021e10,0.026,42.73,0.00046367,2.56,2.574026,5.18,3.70,14.01
0x0214D5c5591bd3691d8841D3BBD0f24a9fCdc41F,0.026,42.73,0.00046372,2.56,2.574026,5.16,3.68,13.98
0xD6f5c922710c21BCAbf044396FE5E554A49189Bf,0.026,42.72,0.00046372,2.53,2.574026,5.12,3.65,13.88
0x52E2f834542b0D746387506dcCa819C44c4F9dA2,0.026,42.67,0.00046465,2.53,2.574026,5.12,3.65,13.87
0xcF510287E89FC226C1a77E10234bb0E780020a94,0.026,42.72,0.00046363,2.53,2.574026,5.11,3.65,13.87
0x1E04f9BC784E9CD4f7A0A8f4c1d44e1cc562079C,0.026,42.73,0.00046341,2.53,2.574026,5.10,3.64,13.84
0x61F329BC8C375D861cA2484508BDf0a3668f6e57,0.026,42.74,0.00046323,2.52,2.574026,5.10,3.64,13.84
0xf34e8a57f6fBD74235dCF35FE59B476f382B5E13,0.025,42.68,0.00046421,2.51,2.475025,5.08,3.62,13.69
0x5afe81b1B1e6FC18806D3AbaA30C9A96F4145FC0,0.025,42.67,0.00046425,2.51,2.475025,5.07,3.62,13.68
0x915B0e70DAFAc50e22e367a308639B673156Cc32,0.025,42.68,0.00046421,2.51,2.475025,5.07,3.62,13.67
0xD9A49E2570BA6962d60c63551cC346F804cD02ED,0.025,42.67,0.00046421,2.51,2.475025,5.06,3.61,13.66
0x90F9f7503e7e22b6093fD96f7cB126480415BB56,0.025,42.62,0.00046505,2.48,2.475025,5.02,3.58,13.56
0xe88532D2Fb582F02E240672D9B2d3D4B769e217a,0.025,43.37,0.00045062,2.48,2.475025,5.01,3.58,13.55
0x60b1654503FB57b3dDCBB34dac594E97b724c100,0.025,42.68,0.00046367,2.48,2.475025,5.01,3.58,13.54
0x490291eBC5deb6ea5A53CDAfb051277F608659Cc,0.025,42.67,0.00046381,2.48,2.475025,5.01,3.57,13.53
0x1fDE28ca6b2eD93454dB1E69645384B8e653F680,0.025,42.68,0.00046372,2.48,2.475025,5.00,3.57,13.53
0xCd73CD9B0230c2E03913aa955C42f31854EaEAf9,0.025,42.68,0.00046354,2.46,2.475025,4.97,3.54,13.44
0x9D9e17cb7947E3eA3fEc2a4d85dBCF382ACEcAA0,0.025,42.68,0.00046318,2.44,2.475025,4.94,3.52,13.38
0xC4E54394735abB581c85ecbD7bdF395a6a0093E4,0.025,42.68,0.00046318,2.43,2.475025,4.90,3.50,13.30
0x2dFc0E49739Df00C3575896ee1c956F5E7A9246C,0.024,42.68,0.00046287,2.42,2.376024,4.90,3.50,13.19
0x2474978b23e292A0B0D7f750126a136B5664eC3f,0.024,42.57,0.00046417,2.42,2.376024,4.88,3.48,13.16
0x644ad95C95273c5B6E790bBc597A984A0c59CAD4,0.024,42.57,0.00046372,2.42,2.376024,4.88,3.48,13.15
0xa15d134513fBd0dcc88a19F03563b02A8B358139,0.024,42.55,0.00046327,2.41,2.376024,4.86,3.47,13.12
0x243D7963810911D0E84749715B8045172B73c71c,0.024,42.65,0.00046060,2.39,2.376024,4.84,3.45,13.06
0x2fE0E245dB110D3aB89EC85B9CEfE367bf36B976,0.024,42.55,0.00046149,2.39,2.376024,4.83,3.45,13.04
0x866abB34eEdE356caF6afeb8B0c2b172d8146999,0.024,42.57,0.00045949,2.38,2.376024,4.82,3.44,13.01
0xC60F78a137D9035b15B0bfb1AFE7100d19cFA01f,0.024,43.23,0.00044601,2.38,2.376024,4.82,3.44,13.01
0x16b44642B853a25BF8F38D8C61Fb7F7EB8a59C0A,0.024,42.55,0.00045792,2.38,2.376024,4.80,3.43,12.99
